file,version,iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_redirect,time_starttransfer,time_total
empty_file,tcp,1,0.000112,0.021495,0.188976,0.189129,0.000000,0.208854,0.208939
empty_file,tcp,2,0.000092,0.019385,0.066400,0.066486,0.000000,0.084984,0.085024
empty_file,tcp,3,0.000025,0.018725,0.134322,0.134350,0.000000,0.155377,0.155404
empty_file,tcp,4,0.000024,0.020316,0.049470,0.049495,0.000000,0.068359,0.068386
empty_file,tcp,5,0.000031,0.018711,0.052373,0.052418,0.000000,0.071443,0.071498
empty_file,tcp,6,0.000100,0.019318,0.177423,0.177562,0.000000,0.197849,0.197900
empty_file,tcp,7,0.000048,0.020498,0.055161,0.055211,0.000000,0.076218,0.076255
empty_file,tcp,8,0.000027,0.042171,0.168512,0.168634,0.000000,0.188214,0.188286
empty_file,tcp,9,0.000047,0.018674,0.141313,0.141495,0.000000,0.162263,0.162331
empty_file,tcp,10,0.000105,0.020384,0.136670,0.136705,0.000000,0.238896,0.238969
empty_file,quic,1,0.000052,0.061803,0.000000,0.061880,0.000000,0.095053,0.095088
empty_file,quic,2,0.000029,0.058127,0.000000,0.058219,0.000000,0.104881,0.104950
empty_file,quic,3,0.000068,0.038744,0.000000,0.038820,0.000000,0.081044,0.081091
empty_file,quic,4,0.000058,0.049644,0.000000,0.049723,0.000000,0.091848,0.091888
empty_file,quic,5,0.000042,0.049855,0.000000,0.049935,0.000000,0.091411,0.091448
empty_file,quic,6,0.000035,0.052025,0.000000,0.052107,0.000000,0.100536,0.100616
empty_file,quic,7,0.000041,0.054901,0.000000,0.054980,0.000000,0.097126,0.097175
empty_file,quic,8,0.000041,0.053417,0.000000,0.053495,0.000000,0.099742,0.099794
empty_file,quic,9,0.000050,0.057784,0.000000,0.057866,0.000000,0.107667,0.107715
empty_file,quic,10,0.000058,0.045829,0.000000,0.045905,0.000000,0.095599,0.095657
