file,version,iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_redirect,time_starttransfer,time_total
empty_file,quic,1,0.000039,0.087284,0.000000,0.087380,0.000000,0.159698,0.159787
empty_file,quic,2,0.000034,0.078347,0.000000,0.078428,0.000000,0.150025,0.150055
empty_file,quic,3,0.000025,0.076904,0.000000,0.077007,0.000000,0.148792,0.148822
empty_file,quic,4,0.000037,0.078936,0.000000,0.079089,0.000000,0.150781,0.150824
empty_file,quic,5,0.000062,0.079567,0.000000,0.079662,0.000000,0.151774,0.151829
empty_file,quic,6,0.000094,0.079588,0.000000,0.079661,0.000000,0.152010,0.152117
empty_file,quic,7,0.000047,0.085829,0.000000,0.085904,0.000000,0.158224,0.158316
empty_file,quic,8,0.000051,0.080121,0.000000,0.080203,0.000000,0.152188,0.152239
empty_file,quic,9,0.000076,0.081127,0.000000,0.081214,0.000000,0.153419,0.153507
empty_file,quic,10,0.000051,1.185738,0.000000,1.185898,0.000000,1.260345,1.260423
empty_file,quic,11,0.000044,0.088397,0.000000,0.088471,0.000000,0.163832,0.163922
empty_file,quic,12,0.000047,0.080660,0.000000,0.080745,0.000000,0.154945,0.155001
empty_file,quic,13,0.000044,0.082428,0.000000,0.082501,0.000000,0.157343,0.157435
empty_file,quic,14,0.000051,0.079415,0.000000,0.079501,0.000000,0.154556,0.154632
empty_file,quic,15,0.000048,0.081583,0.000000,0.081681,0.000000,0.147149,0.147194
empty_file,quic,16,0.000058,0.076842,0.000000,0.076916,0.000000,0.160016,0.160069
empty_file,quic,17,0.000061,0.083144,0.000000,0.083229,0.000000,0.148842,0.148914
empty_file,quic,18,0.000052,0.081152,0.000000,0.081236,0.000000,0.155713,0.155758
empty_file,quic,19,0.000037,0.077477,0.000000,0.077550,0.000000,0.142929,0.142980
empty_file,quic,20,0.000061,0.083084,0.000000,0.083161,0.000000,0.157916,0.158011
empty_file,quic,21,0.000051,0.071858,0.000000,0.071932,0.000000,0.146222,0.146263
empty_file,quic,22,0.000053,0.078054,0.000000,0.078128,0.000000,0.153226,0.153316
empty_file,quic,23,0.000044,0.081144,0.000000,0.081224,0.000000,0.156094,0.156183
empty_file,quic,24,0.000050,0.079994,0.000000,0.080066,0.000000,0.154921,0.154973
empty_file,quic,25,0.000053,0.078708,0.000000,0.078792,0.000000,0.154794,0.154877
empty_file,quic,26,0.000047,0.068381,0.000000,0.068462,0.000000,0.133913,0.133971
empty_file,quic,27,0.000066,0.084641,0.000000,0.084714,0.000000,0.159431,0.159483
empty_file,quic,28,0.000068,0.083307,0.000000,0.083382,0.000000,0.158438,0.158550
empty_file,quic,29,0.000052,0.071448,0.000000,0.071522,0.000000,0.146034,0.146071
empty_file,quic,30,0.000030,0.070918,0.000000,0.071003,0.000000,0.146097,0.146185
empty_file,quic,31,0.000052,0.060112,0.000000,0.060194,0.000000,0.136073,0.136170
empty_file,quic,32,0.000051,0.080058,0.000000,0.080131,0.000000,0.154923,0.155013
empty_file,quic,33,0.000047,0.080349,0.000000,0.080422,0.000000,0.146048,0.146132
empty_file,quic,34,0.000046,0.072325,0.000000,0.072406,0.000000,0.147573,0.147676
empty_file,quic,35,0.000052,0.078891,0.000000,0.078974,0.000000,0.155169,0.155255
empty_file,quic,36,0.000061,0.077763,0.000000,0.077863,0.000000,0.152614,0.152671
empty_file,quic,37,0.000062,0.084044,0.000000,0.084126,0.000000,0.158813,0.158864
empty_file,quic,38,0.000053,0.079931,0.000000,0.080004,0.000000,0.145094,0.145164
empty_file,quic,39,0.000063,0.082172,0.000000,0.082244,0.000000,0.157022,0.157086
empty_file,quic,40,0.000047,0.082520,0.000000,0.082596,0.000000,0.157207,0.157257
empty_file,quic,41,0.000042,0.083788,0.000000,0.083861,0.000000,0.158402,0.158458
empty_file,quic,42,0.000069,0.081798,0.000000,0.081870,0.000000,0.156493,0.156564
empty_file,quic,43,0.000048,0.090660,0.000000,0.090731,0.000000,0.165878,0.165962
empty_file,quic,44,0.000048,0.080928,0.000000,0.081002,0.000000,0.155838,0.155890
empty_file,quic,45,0.000052,0.078776,0.000000,0.078853,0.000000,0.153823,0.153906
empty_file,quic,46,0.000033,0.077839,0.000000,0.077911,0.000000,0.152766,0.152824
empty_file,quic,47,0.000051,0.083253,0.000000,0.083326,0.000000,0.166595,0.166686
empty_file,quic,48,0.000062,0.077785,0.000000,0.077860,0.000000,0.152617,0.152669
empty_file,quic,49,0.000051,0.080584,0.000000,0.080666,0.000000,0.155662,0.155752
empty_file,quic,50,0.000054,0.080406,0.000000,0.080480,0.000000,0.342238,0.342275
empty_file,quic,51,0.000029,0.082254,0.000000,0.082340,0.000000,0.166897,0.166979
empty_file,quic,52,0.000051,0.079187,0.000000,0.079270,0.000000,0.154252,0.154303
empty_file,quic,53,0.000058,0.077920,0.000000,0.077994,0.000000,0.153038,0.153122
empty_file,quic,54,0.000049,0.078692,0.000000,0.078775,0.000000,0.153743,0.153810
empty_file,quic,55,0.000060,0.080434,0.000000,0.080510,0.000000,0.155576,0.155665
empty_file,quic,56,0.000047,0.078895,0.000000,0.078967,0.000000,0.154383,0.154473
empty_file,quic,57,0.000068,0.085214,0.000000,0.085296,0.000000,0.160890,0.160990
empty_file,quic,58,0.000048,0.077145,0.000000,0.077217,0.000000,0.152517,0.152608
empty_file,quic,59,0.000100,0.088181,0.000000,0.088255,0.000000,0.172159,0.172222
empty_file,quic,60,0.000050,0.082092,0.000000,0.082173,0.000000,0.157004,0.157054
empty_file,quic,61,0.000062,0.083036,0.000000,0.083111,0.000000,0.158573,0.158625
empty_file,quic,62,0.000063,0.075576,0.000000,0.075648,0.000000,0.150608,0.150680
empty_file,quic,63,0.000104,0.085394,0.000000,0.085479,0.000000,0.160060,0.160119
empty_file,quic,64,0.000071,0.085052,0.000000,0.085124,0.000000,0.159723,0.159765
empty_file,quic,65,0.000049,0.082614,0.000000,0.082685,0.000000,0.157615,0.157684
empty_file,quic,66,0.000051,0.081767,0.000000,0.081851,0.000000,0.165408,0.165493
empty_file,quic,67,0.000047,0.081748,0.000000,0.081829,0.000000,0.165546,0.165619
empty_file,quic,68,0.000046,0.078034,0.000000,0.078107,0.000000,0.161621,0.161711
empty_file,quic,69,0.000051,0.080777,0.000000,0.080857,0.000000,0.155988,0.156068
empty_file,quic,70,0.000051,0.081774,0.000000,0.081848,0.000000,0.156458,0.156498
empty_file,quic,71,0.000052,0.081238,0.000000,0.081346,0.000000,0.155581,0.155620
empty_file,quic,72,0.000026,0.083375,0.000000,0.083447,0.000000,0.167889,0.167991
empty_file,quic,73,0.000047,0.079948,0.000000,0.080025,0.000000,0.163646,0.163751
empty_file,quic,74,0.000049,0.079275,0.000000,0.079357,0.000000,0.164217,0.164313
empty_file,quic,75,0.000047,0.088318,0.000000,0.088405,0.000000,0.181672,0.181733
empty_file,quic,76,0.000067,0.079384,0.000000,0.079457,0.000000,0.154166,0.154220
empty_file,quic,77,0.000043,0.083148,0.000000,0.083231,0.000000,0.167205,0.167314
empty_file,quic,78,0.000047,0.070712,0.000000,0.070787,0.000000,0.145464,0.145534
empty_file,quic,79,0.000048,0.082120,0.000000,0.082202,0.000000,0.157296,0.157385
empty_file,quic,80,0.000048,0.079144,0.000000,0.079217,0.000000,0.155169,0.155263
empty_file,quic,81,0.000040,0.082119,0.000000,0.082192,0.000000,0.157306,0.157409
empty_file,quic,82,0.000052,0.163793,0.000000,0.163871,0.000000,0.239385,0.239483
empty_file,quic,83,0.000047,0.074411,0.000000,0.074483,0.000000,0.149312,0.149374
