file,version,iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_redirect,time_starttransfer,time_total
empty_file,tcp,1,0.002431,0.059144,0.133981,0.134013,0.000000,0.195106,0.195185
empty_file,tcp,2,0.001155,0.063404,0.135532,0.135556,0.000000,0.191188,0.191213
empty_file,tcp,3,0.001348,0.059851,0.132461,0.132493,0.000000,0.187817,0.187877
empty_file,tcp,4,0.001210,0.059994,0.149785,0.149914,0.000000,0.211626,0.211727
empty_file,tcp,5,0.001596,0.063978,0.145691,0.145809,0.000000,0.200148,0.200219
empty_file,tcp,6,0.001675,0.059283,0.132621,0.132729,0.000000,0.195108,0.195149
empty_file,tcp,7,0.000937,0.057563,0.131295,0.131397,0.000000,0.185758,0.185831
empty_file,tcp,8,0.001531,0.059293,0.132999,0.133113,0.000000,0.187271,0.187343
empty_file,tcp,9,0.001765,0.059948,0.149856,0.149979,0.000000,0.203722,0.203798
empty_file,tcp,10,0.003653,0.060809,0.134560,0.134701,0.000000,0.188686,0.188772
empty_file,tcp,11,0.002089,0.062283,0.136018,0.136119,0.000000,0.190368,0.190437
empty_file,tcp,12,0.001375,0.061778,0.135596,0.135711,0.000000,0.189789,0.189852
empty_file,tcp,13,0.001562,0.061119,0.134804,0.134934,0.000000,0.188870,0.188933
empty_file,tcp,14,0.001773,0.061531,0.143928,0.144064,0.000000,0.205430,0.205500
empty_file,tcp,15,0.003090,0.058448,0.130568,0.130595,0.000000,0.186157,0.186206
empty_file,tcp,16,0.001713,0.064554,0.154749,0.154904,0.000000,0.216605,0.216672
empty_file,tcp,17,0.003241,0.062580,0.136233,0.136346,0.000000,0.190647,0.190730
empty_file,tcp,18,0.001747,0.063932,0.153947,0.154078,0.000000,0.215805,0.215882
empty_file,tcp,19,0.001616,0.056924,0.145413,0.145460,0.000000,0.200597,0.200626
empty_file,tcp,20,0.000816,0.060434,0.150107,0.150210,0.000000,0.204411,0.204475
empty_file,tcp,21,0.001598,0.059151,0.132931,0.133048,0.000000,0.187165,0.187242
empty_file,tcp,22,0.001646,0.059256,0.149174,0.149316,0.000000,0.203167,0.203273
empty_file,tcp,23,0.001541,0.056861,0.154974,0.155096,0.000000,0.208977,0.209050
empty_file,tcp,24,0.001423,0.059833,0.133551,0.133653,0.000000,0.187942,0.188038
empty_file,tcp,25,0.001615,0.059539,0.141329,0.141441,0.000000,0.195530,0.195601
empty_file,tcp,26,0.001495,0.058689,0.140217,0.140351,0.000000,0.194644,0.194714
empty_file,tcp,27,0.001552,0.059067,0.133198,0.133343,0.000000,0.187056,0.187157
empty_file,tcp,28,0.001686,0.057802,0.130569,0.130618,0.000000,0.185637,0.185686
empty_file,tcp,29,0.001496,0.057804,0.131753,0.131871,0.000000,0.186015,0.186086
empty_file,tcp,30,0.001898,0.059397,0.149342,0.149468,0.000000,0.211171,0.211267
empty_file,tcp,31,0.001278,0.063789,0.145698,0.145812,0.000000,0.199867,0.199936
empty_file,tcp,32,0.001507,0.060146,0.133518,0.133624,0.000000,0.188028,0.188090
empty_file,tcp,33,0.001329,0.063539,0.137266,0.137376,0.000000,0.191596,0.191666
empty_file,tcp,34,0.001536,0.059096,0.132787,0.132903,0.000000,0.187032,0.187135
empty_file,tcp,35,0.001895,0.064332,0.138131,0.138244,0.000000,0.192231,0.192294
empty_file,tcp,36,0.001625,0.060738,0.150534,0.150652,0.000000,0.204570,0.204650
empty_file,tcp,37,0.001332,0.059030,0.140839,0.140939,0.000000,0.195084,0.195160
empty_file,tcp,38,0.001769,0.058626,0.132459,0.132589,0.000000,0.186504,0.186572
empty_file,tcp,39,0.001404,0.061298,0.143152,0.143267,0.000000,0.197220,0.197295
empty_file,tcp,40,0.001444,0.058574,0.132192,0.132322,0.000000,0.186452,0.186530
empty_file,tcp,41,0.001639,0.057171,0.145499,0.145537,0.000000,0.200835,0.200864
empty_file,tcp,42,0.000997,0.057873,0.147477,0.147595,0.000000,0.201583,0.201648
empty_file,tcp,43,0.001342,0.062528,0.136412,0.136538,0.000000,0.190575,0.190644
empty_file,tcp,44,0.001295,0.060368,0.134281,0.134404,0.000000,0.188450,0.188523
empty_file,tcp,45,0.001552,0.060274,0.134078,0.134197,0.000000,0.188438,0.188515
empty_file,tcp,46,0.001978,0.057015,0.130335,0.130440,0.000000,0.184994,0.185074
empty_file,tcp,47,0.001653,0.058943,0.140654,0.140770,0.000000,0.194879,0.194951
empty_file,tcp,48,0.001658,0.070567,0.168508,0.168635,0.000000,0.230545,0.230619
empty_file,tcp,49,0.001454,0.067217,0.156998,0.157134,0.000000,0.218902,0.218972
empty_file,tcp,50,0.001272,0.063951,0.137427,0.137555,0.000000,0.199807,0.199906
empty_file,tcp,51,0.002991,0.059282,0.133035,0.133151,0.000000,0.195458,0.195553
empty_file,tcp,52,0.001605,0.058548,0.132559,0.132689,0.000000,0.194706,0.194777
empty_file,tcp,53,0.001375,0.067481,0.141251,0.141366,0.000000,0.203568,0.203644
empty_file,tcp,54,0.001670,0.058511,0.131933,0.131993,0.000000,0.194706,0.194773
empty_file,tcp,55,0.001581,0.063246,0.135770,0.135824,0.000000,0.199353,0.199426
empty_file,tcp,56,0.003157,0.069423,0.151207,0.151331,0.000000,0.213246,0.213305
empty_file,tcp,57,0.000939,0.069315,0.167083,0.167212,0.000000,0.229317,0.229386
empty_file,tcp,58,0.001487,0.056481,0.129491,0.129542,0.000000,0.192581,0.192659
empty_file,tcp,59,0.002934,0.072444,0.145389,0.145480,0.000000,0.208569,0.208658
empty_file,tcp,60,0.001552,0.071082,0.160932,0.161052,0.000000,0.223010,0.223097
empty_file,tcp,61,0.001614,0.065333,0.146966,0.147079,0.000000,0.209328,0.209400
empty_file,tcp,62,0.001355,0.066834,0.140775,0.140891,0.000000,0.202811,0.202879
empty_file,tcp,63,0.001401,0.060868,0.134757,0.134887,0.000000,0.196962,0.197036
empty_file,tcp,64,0.001329,0.070433,0.167980,0.168102,0.000000,0.230371,0.230479
empty_file,tcp,65,0.001260,0.062316,0.136367,0.136493,0.000000,0.198407,0.198476
empty_file,tcp,66,0.003170,0.061050,0.133636,0.133689,0.000000,0.197109,0.197201
empty_file,tcp,67,0.001449,0.066876,0.140405,0.140507,0.000000,0.202872,0.202944
empty_file,tcp,68,0.001346,0.064423,0.154051,0.154165,0.000000,0.216282,0.216356
empty_file,tcp,69,0.001466,0.064329,0.162028,0.162137,0.000000,0.224184,0.224256
empty_file,tcp,70,0.001517,0.066374,0.139875,0.139963,0.000000,0.202259,0.202323
empty_file,tcp,71,0.001274,0.066884,0.148737,0.148860,0.000000,0.211154,0.211223
empty_file,tcp,72,0.001462,0.064405,0.137840,0.137938,0.000000,0.200640,0.200710
empty_file,tcp,73,0.003178,0.067948,0.141653,0.141767,0.000000,0.203954,0.204039
empty_file,tcp,74,0.001367,0.064118,0.144673,0.144720,0.000000,0.208056,0.208130
empty_file,tcp,75,0.001284,0.068235,0.141666,0.141775,0.000000,0.204317,0.204390
empty_file,tcp,76,0.001527,0.063821,0.137729,0.137861,0.000000,0.199855,0.199928
empty_file,tcp,77,0.001481,0.063948,0.145971,0.146110,0.000000,0.208045,0.208122
empty_file,tcp,78,0.001549,0.066151,0.140303,0.140440,0.000000,0.202170,0.202244
empty_file,tcp,79,0.002020,0.064970,0.137910,0.137977,0.000000,0.201077,0.201174
empty_file,tcp,80,0.003437,0.061788,0.135548,0.135673,0.000000,0.197953,0.198050
empty_file,tcp,81,0.001599,0.070985,0.160899,0.161019,0.000000,0.223082,0.223147
empty_file,tcp,82,0.001383,0.066347,0.139570,0.139637,0.000000,0.202335,0.202408
empty_file,tcp,83,0.001598,0.066610,0.140040,0.140139,0.000000,0.202537,0.202608
empty_file,tcp,84,0.001565,0.069397,0.150973,0.151091,0.000000,0.213452,0.213524
empty_file,tcp,85,0.001888,0.065005,0.147123,0.147272,0.000000,0.209079,0.209152
empty_file,tcp,86,0.001335,0.064299,0.146550,0.146674,0.000000,0.208442,0.208511
empty_file,tcp,87,0.001557,0.065958,0.147823,0.147935,0.000000,0.210023,0.210104
empty_file,tcp,88,0.001303,0.065111,0.146971,0.147090,0.000000,0.209105,0.209179
empty_file,tcp,89,0.001313,0.066041,0.147781,0.147903,0.000000,0.210164,0.210226
empty_file,tcp,90,0.001286,0.066713,0.140379,0.140495,0.000000,0.202710,0.202782
empty_file,tcp,91,0.001671,0.066369,0.147864,0.147963,0.000000,0.210558,0.210635
empty_file,tcp,92,0.001599,0.064513,0.154086,0.154210,0.000000,0.216481,0.216556
empty_file,tcp,93,0.001339,0.065527,0.155243,0.155364,0.000000,0.217432,0.217493
empty_file,tcp,94,0.001095,0.068693,0.143176,0.143308,0.000000,0.204685,0.204759
empty_file,tcp,95,0.003259,0.059201,0.133021,0.133126,0.000000,0.195473,0.195572
empty_file,tcp,96,0.003143,0.068793,0.142186,0.142284,0.000000,0.204735,0.204818
empty_file,tcp,97,0.001509,0.065950,0.163667,0.163783,0.000000,0.225825,0.225918
empty_file,tcp,98,0.001409,0.069225,0.167079,0.167205,0.000000,0.229072,0.229150
empty_file,tcp,99,0.001372,0.066136,0.147647,0.147747,0.000000,0.210262,0.210331
empty_file,tcp,100,0.002056,0.065552,0.147069,0.147169,0.000000,0.209672,0.209766
